"title","url","stars","name","reviewUrl","text"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Ali Achmadi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURXd3RILXNRRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CIHM0ogKEICAgIDWwtH-sQE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","DIMAS ADITYA","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OdU56ZFJablJWUjNSMVdIVnNNVkp1TkUwelpIYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOnNuNzdRZnRVR3R1WHVsMVJuNE0zZHc%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","4","Sastria (SAS)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25BMFF6QXlVbWM0YlhVNVgxVmtTRVpJZVRWNGFrRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOnA0QzAyUmc4bXU5X1VkSEZIeTV4akE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Abu Arman","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5M09FeFNlRU0xVVdwb1pFdzRhbEJoWm0xSFFrRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOl93OExSeEM1UWpoZEw4alBhZm1HQkE%7C%7C?hl=id","Tempat wisata lengkap
Camping ground
Glamping
Bungalow
Playground
Wisata selfie
Resto
Cafe

Semua ada"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Finda Azhari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCWk9GaDZZVkI1WXpKUU5VZGtMV1o0UkZOelpuYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOjBZOFh6YVB5YzJQNUdkLWZ4RFNzZnc%7C%7C?hl=id","Tempatnya nyaman banget cocok untuk liburan..
Banyak tempat spot foto yang bagus-bagus🤩"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","2","Wahyu_ MT","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNVlubFNUQzFKYm10RFFVNXhZVUY1TjJ4UU1FRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOjU5YnlSTC1JbmtDQU5xYUF5N2xQMEE%7C%7C?hl=id",
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","rahmad samudra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkbFJWWk9hMnhJY1dSRFoxWlFkMmRyVkdSWlZVRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOldlRVZOa2xIcWRDZ1ZQd2drVGRZVUE%7C%7C?hl=id","Ke hutan mycelia saat malam hari, cocok untuk keluarga"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Fadillah Rizki","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSV1FUaEJRbGQ2ZFZOUU1DMVBSazFhZFVsRVJIYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOlRWQThBQld6dVNQMC1PRk1adUlERHc%7C%7C?hl=id","Wisata alam yg menyenangkan."
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","Faizah Husain","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSemNVTnZZWFkwVW0xVFQwMWxlbTR5VlVob1IwRRAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOkRzcUNvYXY0Um1TT01lem4yVUhoR0E%7C%7C?hl=id","rekomend buat yang mau main” ke alam,
untuk tempat + games nya worth.

jngn lupa pke sepatu ya gaiss biar safety karna jalanan buat k masing” wahananya naik turun & banyak akar pohon besar besar ( saya sendiri malah pke flatshoes😭 ) tidak d sarankan yups hahah..

just have fun guys 🌳👾"
"Terminal Wisata Grafika Cikole","https://www.google.com/maps/search/?api=1&query=Terminal%20Wisata%20Grafika%20Cikole&query_place_id=ChIJb_4hpRTgaC4RhHELJZTCoMY","5","ipan firmansyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201eVdtdEhXRm96TjIxd1MyRnNZVEJWYjBKdVMyYxAB!2m1!1s0x0:0xc6a0c294250b7184!3m1!1s2@1:CAIQACodChtycF9oOm5yWmtHWFozN21wS2FsYTBVb0JuS2c%7C%7C?hl=id",
