id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama,alamat,tahun
82,32,JAWA BARAT,3273,KOTA BANDUNG,PT. AFI TOUR,"JL. SOEKARNO HATTA NO.365 - KB. LEGA - KEC. BOJONGLOA KIDUL -
  KOTA BANDUNG - JAWA BARAT 40235",2024
83,32,JAWA BARAT,3273,KOTA BANDUNG,NRA TOUR & TRAVEL,"JL. MEKAR UTAMA NO.102 - MEKARWANGI - KEC. BOJONGLOA KIDUL -
  KOTA BANDUNG - JAWA BARAT 40237",2024
84,32,JAWA BARAT,3273,KOTA BANDUNG,D'LEISURE,"TMU III - MEKARWANGI - KEC. BOJONGLOA KIDUL - KOTA BANDUNG -
  JAWA BARAT 40235",2024
85,32,JAWA BARAT,3273,KOTA BANDUNG,BERKAH PUTRA TOUR & TRAVEL,SITUSAEUR - BOJONGLOA KIDUL - BANDUNG CITY - WEST JAVA 40233,2024
86,32,JAWA BARAT,3273,KOTA BANDUNG,MEGATAMA TOURS (PT. WISATA MEGA UTAMA),"METRO BUSINESS PARK BLOK B7 LANTAI 1 @METRO SUITE - JL.
  SOEKARNO HATTA NO.693 - JATISARI - KEC. BUAHBATU - KOTA BANDUNG - JAWA BARAT
  40286",2024
87,32,JAWA BARAT,3273,KOTA BANDUNG,DAUROH TRAVEL CABANG BANDUNG,"JL SOEKARNO HATA - RUKO KOMPLEK SANGGAR HURIP ESTATE NO 41 -
  KOTA BANDUNG - JAWA BARAT 40286",2024
88,32,JAWA BARAT,3273,KOTA BANDUNG,WALANJA ONLINE TRAVEL AGENT,"PARAHYANGAN BUSINESS PARK - JL. SOEKARNO HATTA NO.693 BLOK E5
  - JATISARI - KEC. BUAHBATU - KOTA BANDUNG - JAWA BARAT 40286",2024
89,32,JAWA BARAT,3273,KOTA BANDUNG,SAFAR MULIA,"JL. SOEKARNO-HATTA NO.689B PARAHYANGAN BUSINESS PARK - THE
  SUITES @ METRO APARTMENT B-02 - KOTA BANDUNG - JAWA BARAT 40286",2024
90,32,JAWA BARAT,3273,KOTA BANDUNG,"HEY WISATA ( TOUR OPERATOR / WISATA OFFROAD / VW SAFARI TOUR /
  GATHERING / OUTING )","KOMPLEK TAMAN PERSADA RESIDENCE - BLK. VI NO.52 - MARGASARI -
  KEC. BUAHBATU - KOTA BANDUNG - JAWA BARAT 40286",2024
91,32,JAWA BARAT,3273,KOTA BANDUNG,MAUCHECKIN & MAUTRIP,"JL. PLUTO RAYA NO.35 - MARGASARI - KEC. BUAHBATU - KOTA
  BANDUNG - JAWA BARAT 40286",2024
92,32,JAWA BARAT,3273,KOTA BANDUNG,ADAN TOUR,"JL. PLUTO UTARA NO.17 BLOK G - MARGASARI - BUAHBATU - BANDUNG
  CITY - WEST JAVA 40286",2024
93,32,JAWA BARAT,3273,KOTA BANDUNG,RUBI TOUR,"KAWASAN METRO INDAH MALL BLOK I NO. 27 - JL. SOEKARNO HATTA
  NO.590 - SEKEJATI - KEC. BUAHBATU - KOTA BANDUNG - JAWA BARAT 40286",2024
94,32,JAWA BARAT,3273,KOTA BANDUNG,MAQDIS TRAVEL BANDUNG,"METRO INDAH MALL BLOK D NO. 20 - JL. SOEKARNO HATTA NO.590 -
  SEKEJATI - KEC. BUAHBATU - KOTA BANDUNG - JAWA BARAT 40286",2024
95,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG TOUR TRAVEL & MICE,"3M55+369 - SEKEJATI - BUAHBATU - BANDUNG CITY - WEST JAVA
  40286",2024
96,32,JAWA BARAT,3273,KOTA BANDUNG,TRINITY,"JL. CIGADUNG SELATAN NO.24 - CIGADUNG - KEC. CIBEUNYING KALER
  - KOTA BANDUNG - JAWA BARAT 40191",2024
97,32,JAWA BARAT,3273,KOTA BANDUNG,KHALIFAH TOUR,"JL. BRIGADIR JEND. KATAMSO NO.11 - CIHAUR GEULIS - KEC.
  CIBEUNYING KALER - KOTA BANDUNG - JAWA BARAT 40122",2024
98,32,JAWA BARAT,3273,KOTA BANDUNG,QIBLAT TOUR PUSDAI. PT,"JL. DIPONEGORO NO.61 - CIHAUR GEULIS - KEC. CIBEUNYING KALER -
  KOTA BANDUNG - JAWA BARAT 40122",2024
99,32,JAWA BARAT,3273,KOTA BANDUNG,DEXTRAVEL,"JL. PUSDAI - CIHAUR GEULIS - KEC. CIBEUNYING KALER - KOTA
  BANDUNG - JAWA BARAT 40122",2024
100,32,JAWA BARAT,3273,KOTA BANDUNG,TRIPVISTA.ID,"JL. KHP HASAN MUSTOPA NO.35 - NEGLASARI - KEC. CIBEUNYING
  KALER - KOTA BANDUNG - JAWA BARAT 40124",2024
101,32,JAWA BARAT,3273,KOTA BANDUNG,UMROH BACKPACKER,"GRAHA LTI (LEMBAGA TARBIYYAH ISLAMIYYAH) - JL. PAHLAWAN NO.64
  - NEGLASARI - KEC. CIBEUNYING KALER - KOTA BANDUNG - JAWA BARAT 40124",2024
102,32,JAWA BARAT,3273,KOTA BANDUNG,RAJA MANAGEMENT WISATA,"4J4P+PXW - GG. AL-HUDA - NEGLASARI - KEC. CIBEUNYING KALER -
  KOTA BANDUNG - JAWA BARAT 40124",2024
103,32,JAWA BARAT,3273,KOTA BANDUNG,ILMA TOUR AND TRAVEL,"JL. CIKUTRA NO.328 - NEGLASARI - KEC. CIBEUNYING KALER - KOTA
  BANDUNG - JAWA BARAT 40124",2024
104,32,JAWA BARAT,3273,KOTA BANDUNG,SARI HOLIDAY TOURS & TRAVEL. PT,"LOBBY POSTERS HOTEL ARCADE - JL PENGHULU HAJI HASAN MUSTOPA -
  NO. 33 A - NEGLASARI - BANDUNG - KOTA BANDUNG - JAWA BARAT 40124",2024
105,32,JAWA BARAT,3273,KOTA BANDUNG,TOUR GUIDE BANDUNG,"JL. JALAPRANG NO.79 - SUKALUYU - KEC. CIBEUNYING KALER - KOTA
  BANDUNG - JAWA BARAT 40123",2024
106,32,JAWA BARAT,3273,KOTA BANDUNG,YC TRAVELLA (TOUR TRAVEL BANDUNG & DOMESTIK),"KOMPLEK APARTMENT GATEWAY AHMAD YANI RUKO EB LG1 NO. 9 -
  CICADAS - KEC. CIBEUNYING KIDUL - KOTA BANDUNG - JAWA BARAT 40125",2024
107,32,JAWA BARAT,3273,KOTA BANDUNG,FAVIA TOUR,"3JVQ+C7Q - JL. ASBES GG. BUNGA II - CICADAS - KEC. CIBEUNYING
  KIDUL - KOTA BANDUNG - JAWA BARAT 40212",2024
108,32,JAWA BARAT,3273,KOTA BANDUNG,ARASH TOUR AND TRAVEL,"JL. CIKUTRA NO.148 LANTAI 2 - CIKUTRA - KEC. CIBEUNYING KIDUL
  - KOTA BANDUNG - JAWA BARAT 40124",2024
109,32,JAWA BARAT,3273,KOTA BANDUNG,PELANGI TOUR & TRAVEL (CV. PELANGI GEMILANG WARDHANA),"GG. SEKEPONDOK I - CIKUTRA - KEC. CIBEUNYING KIDUL - KOTA
  BANDUNG - JAWA BARAT 40125",2024
