location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory
LOC-101,Teras Cikapundung Bbws,-6.8843,107.6069,0,0,Gratis,Taman Kota,Ruang publik sungai
LOC-102,Terminal Wisata Grafika Cikole,-6.7850486,107.6516285,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-103,The Great Asia Africa,-6.8326049,107.6047628,50000,65000,Per Orang,Tempat Budaya,Taman budaya tematik
LOC-104,The Kings Shopping Centre,-6.9228656,107.6049577,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-105,The Lodge Maribaya,-6.8288811,107.688434,50000,65000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi alam
LOC-106,The Nice Park Bandung,-6.8235133,107.5555715,30000,60000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga
LOC-107,Toga Hill,-6.8769363,107.9091747,10000,10000,Per Orang,Wisata Alam,Bukit panorama
LOC-108,Trans Studio Bandung,-6.9247021,107.6360969,100000,100000,Per Orang,Rekreasi Keluarga,Taman hiburan indoor
LOC-109,Trans Studio Mall Bandung,-6.9256414,107.6367469,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-110,Upside Down World Bandung,-6.8963,107.617,80000,100000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif
LOC-111,Venus Cimahi,-6.8770592,107.5399984,15000,25000,Per Orang,Rekreasi Keluarga,Tempat hiburan
LOC-112,Vihara Satya Budhi,-6.9179615,107.5926411,0,0,Gratis,Tempat Ibadah,Vihara
LOC-113,Wayang Windu Panenjoan,-7.2041999,107.6264991,20000,20000,Per Orang,Wisata Alam,Titik panorama
LOC-114,Wisata Air Gajah Depa,-6.8193829,107.9446083,30000,35000,Per Orang,Wahana Air,Wahana air buatan
LOC-115,Wisata Hutan Pinus Pal 16 Cikole Lembang,-6.7798046,107.6454692,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-116,Wisata Kampoeng Ciherang,-6.8293636,107.7978925,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-117,Kiara Artha Park,-6.916458,107.6422474,10000,10000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-118,Forest Walk Babakan Siliwangi,-6.8870113,107.6109441,0,0,Gratis,Wisata Alam,Hutan kota
LOC-119,Taman Dewi Sartika,-6.9133997,107.6095152,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-120,Rumah Guguk,-6.8469616,107.5955585,70000,90000,Per Orang,Wisata Satwa,Wisata hewan peliharaan
LOC-121,NuArt Sculpture Park,-6.8772419,107.5724908,50000,50000,Per Orang,Tempat Seni,Taman patung
LOC-122,Peta Park,-6.9317342,107.5883194,10000,15000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-123,Museum Pendidikan Nasional UPI,-6.8597725,107.5941677,5000,15000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-124,Museum Barli,-6.8783934,107.5875219,25000,25000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-125,Wot Batu,-6.8585391,107.6366148,50000,50000,Per Orang,Tempat Seni,Instalasi seni
LOC-126,Lawangwangi Creative Space,-6.8476429,107.6275129,25000,200000,Per Orang,Tempat Seni,Ruang kreatif
LOC-127,Sarae Hills,-6.8436646,107.6242395,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-128,Observatorium Bosscha,-6.8244765,107.61602,50000,50000,Per Orang,Tempat Belajar,Observatorium
LOC-129,Curug Dago,-6.8654924,107.6181817,15000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-130,Fairy Garden by The Lodge,-6.8233175,107.6886132,25000,25000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-131,Cikole Jayagiri Resort,-6.7823255,107.650253,15000,25000,Per Orang,Penginapan Wisata,Resort wisata
LOC-132,Bird & Bromelia Pavilion,-6.8408955,107.6376637,35000,50000,Per Orang,Wisata Satwa,Taman burung
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),-6.8552,107.6116,0,0,Gratis,Wisata Alam,Kawasan panorama
LOC-134,Bukit Bintang Bandung (Patahan Lembang),-6.8219342,107.6623629,15000,25000,Per Orang,Wisata Alam,Daya tarik alam
LOC-135,Taman Main Mili-Mili & Hutan Mycelia,-6.7854682,107.6516053,50000,50000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-136,Tepi Danau,-6.8594685,107.4625265,20000,30000,Per Orang,Wisata Alam,Tepi danau
LOC-137,Rumah Belanda,-6.780124,107.7075748,25000,50000,Per Orang,Tempat Budaya,Rumah tematik budaya
LOC-138,Kebun Teh Sukawana,-6.89556,107.58361,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-139,Kawah Rengganis Ciwidey,-7.1724375,107.3766875,15000,100000,Per Orang,Wisata Alam,Daya tarik alam
LOC-140,Rengganis Suspension Bridge,-7.1735,107.374,70000,100000,Per Orang,Wisata Petualangan,Jembatan gantung
LOC-141,Taman Wisata Bougenville,-7.110494,107.601071,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi alam
LOC-142,Hejo Forest Ciwidey,-7.143119,107.3912496,15000,250000,Per Orang,Wisata Alam,Hutan wisata
LOC-143,Driam Riverside,-7.06826,107.4904614,15000,310000,Per Orang,Penginapan Wisata,Resort wisata
LOC-144,Barusen Hills Ciwidey,-7.1186146,107.5000118,25000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga
LOC-145,Palalangon Park,-7.1107391,107.4956463,15000,30000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-146,Taman Love Soreang,-7.0449031,107.5039119,25000,30000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga
LOC-147,Victory Waterpark Soreang,-7.0316564,107.5072181,40000,60000,Per Orang,Wahana Air,Wahana air buatan
LOC-148,Pesona Nirwana Waterpark,-7.0409974,107.5266339,40000,50000,Per Orang,Wahana Air,Wahana air buatan
LOC-149,Taman Wisata Alam Cimanggu,-7.1453684,107.3912258,15000,15000,Per Orang,Wisata Alam,Taman wisata alam
LOC-150,Southland Camp Ciwidey,-7.1425721,107.3921291,26000,26000,Per Orang,Tempat Camping,Camping ground
LOC-151,Ecopark Curug Tilu Ciwidey,-7.1499028,107.3757828,25000,40000,Per Orang,Wisata Alam,Daya tarik alam
LOC-152,Kebun Teh Rancabali,-7.111493,107.4152189,0,0,Gratis,Wisata Alam,Daya tarik alam
LOC-153,Perkebunan Teh Malabar,-7.2029908,107.5911852,5000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-154,Kampung Singkur,-7.1843442,107.5467251,10000,10000,Per Orang,Wisata Petualangan,Wisata sungai
LOC-155,Curug Panganten,-6.8435086,107.5639385,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-156,Gunung Artapela,-7.178754,107.6492849,15000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-157,Hutan Pinus Rahong,-7.1807,107.547,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-158,Situ Ninah (Situ Datar),-7.03278,107.56611,25000,25000,Per Orang,Wisata Alam,Daya tarik alam
LOC-159,Penangkaran Rusa Kertamanah,-7.1902358,107.6106834,5000,10000,Per Orang,Wisata Satwa,Penangkaran rusa
LOC-160,Kawah Wayang,-7.2069313,107.6373723,15000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-161,Pemandian Air Panas Cibolang,-7.2320625,107.6169375,25000,40000,Per Orang,Wisata Alam,Daya tarik alam
LOC-162,Rumah Putih Cukul,-7.0315,107.7203,10000,10000,Per Orang,Rekreasi Keluarga,Wahana foto panorama
LOC-163,Kampung Adat Cikondang,-7.1275756,107.5514148,25000,50000,Per Orang,Desa Wisata,Kampung adat
LOC-164,Java Preanger Gunung Tilu,-7.1570989,107.5642904,25000,50000,Per Orang,Wisata Alam,Daya tarik alam
LOC-165,Malabar Mountain Coffee Shop & Eatery,-7.2029,107.5912,25000,100000,Per Orang,Tempat Kuliner,Coffee shop
LOC-166,Muara Rahong Hills,-6.9325,107.5625,0,0,Gratis,Wisata Alam,Perbukitan
LOC-167,Cicalengka Dreamland,-6.9686051,107.8855249,0,0,Gratis,Rekreasi Keluarga,Taman rekreasi tematik
LOC-168,Curug Cinulang,-6.9628443,107.881471,10000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-169,Dago Bakery Punclut,-6.8423415,107.6228747,20000,25000,Per Orang,Tempat Kuliner,Bakery wisata
LOC-170,Tafso Barn,-6.8424051,107.6227991,19000,50000,Per Orang,Tempat Kuliner,Restoran wisata
