batch_no,json_file,penginapan_id,name,property_type_final_after_p3,completion_priority_data_focus,latitude,longitude,current_price_lowest,current_overall_rating,current_reviews,q,max_pages,vacation_rentals,note
56,056_LODGE-01541_kampioen-bed-and-breakfast.json,LODGE-01541,Kampioen Bed and Breakfast,hotel,P1_price_missing,-6.9043,107.6017,,4.3,525.0,"Kampioen Bed and Breakfast, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
57,057_LODGE-01519_ardellia-hotel.json,LODGE-01519,Ardellia Hotel,hotel,P1_price_missing,-6.925,107.6189,,4.2,466.0,"Ardellia Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
58,058_LODGE-01558_wisma-dharma-bakti.json,LODGE-01558,Wisma Dharma Bakti,hotel,P1_price_missing,-6.9153,107.6172,,4.4,428.0,"Wisma Dharma Bakti, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
59,059_LODGE-01534_emia-hotel.json,LODGE-01534,Emia Hotel,hotel,P1_price_missing,-6.9241,107.6249,,3.9,403.0,"Emia Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
60,060_LODGE-01521_bantal-guling-asia-afrika.json,LODGE-01521,Bantal Guling Asia Afrika,hotel,P1_price_missing,-6.926,107.6056,,3.9,307.0,"Bantal Guling Asia Afrika, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
61,061_LODGE-01520_arsallya-hotel.json,LODGE-01520,Arsallya Hotel,hotel,P1_price_missing,-6.9279,107.6212,,4.1,285.0,"Arsallya Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
62,062_LODGE-01515_airy-gasibu-aria-jipang-6-bandung.json,LODGE-01515,Airy Gasibu Aria Jipang 6 Bandung,hotel,P1_price_missing,-6.9001,107.6159,,4.4,163.0,"Airy Gasibu Aria Jipang 6 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
63,063_LODGE-01542_naraya-house.json,LODGE-01542,Naraya house,hotel,P1_price_missing,-6.9315,107.6193,,4.1,160.0,"Naraya house, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
64,064_LODGE-01547_reddoorz-plus-near-bip.json,LODGE-01547,RedDoorz Plus Near BIP,hotel,P1_price_missing,-6.9077,107.613,,4.6,133.0,"RedDoorz Plus Near BIP, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
65,065_LODGE-01538_hotel-mitra-mutiara-inn.json,LODGE-01538,Hotel Mitra Mutiara Inn,hotel,P1_price_missing,-6.9354,107.6241,,4.1,125.0,"Hotel Mitra Mutiara Inn, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
66,066_LODGE-01551_rhapsodic-stay-bed-and-breakfast-bandung.json,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,hotel,P1_price_missing,-6.8966,107.6213,,4.3,65.0,"Rhapsodic Stay Bed and Breakfast Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
67,067_LODGE-01539_hotel-reddoorz-malabar-39.json,LODGE-01539,Hotel RedDoorz Malabar 39,hotel,P1_price_missing,-6.9241,107.6249,,4.4,63.0,"Hotel RedDoorz Malabar 39, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
68,068_LODGE-01517_airy-regol-lengkong-besar-145-bandung.json,LODGE-01517,Airy Regol Lengkong Besar 145 Bandung,hotel,P1_price_missing,-6.9312,107.6129,,3.5,41.0,"Airy Regol Lengkong Besar 145 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
69,069_LODGE-01514_airy-braga-lembong-21-bandung.json,LODGE-01514,Airy Braga Lembong 21 Bandung,hotel,P1_price_missing,-6.9177,107.6125,,3.5,28.0,"Airy Braga Lembong 21 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
70,070_LODGE-01516_airy-lengkong-buah-batu-152-bandung.json,LODGE-01516,Airy Lengkong Buah Batu 152 Bandung,hotel,P1_price_missing,-6.9378,107.6233,,3.6,8.0,"Airy Lengkong Buah Batu 152 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
71,071_LODGE-00214_airy-eco-budi-cimahi.json,LODGE-00214,Airy Eco Budi Cimahi,hotel,P1_price_missing,-6.8905806,107.5587424,,4.0,200.0,"Airy Eco Budi Cimahi, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
72,072_LODGE-00215_pondok-ayuni.json,LODGE-00215,Pondok Ayuni,hotel,P1_price_missing,-6.8814267,107.5788069,,4.0,165.0,"Pondok Ayuni, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
73,073_LODGE-00216_oyo-2609-black-dots.json,LODGE-00216,OYO 2609 Black Dots,hotel,P1_price_missing,-6.8769886,107.566889,,4.3,21.0,"OYO 2609 Black Dots, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
74,074_LODGE-01574_karang-setra-hotel-cottages.json,LODGE-01574,Karang Setra Hotel & Cottages,hotel,P1_price_missing,-6.8833,107.5956,,4.3,2619.0,"Karang Setra Hotel & Cottages, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
75,075_LODGE-01586_the-bougenvile-hotel.json,LODGE-01586,The Bougenvile Hotel,hotel,P1_price_missing,-6.9295,107.6268,,4.2,512.0,"The Bougenvile Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
76,076_LODGE-01579_reddoorz-talaga-bodas.json,LODGE-01579,RedDoorz @ Talaga Bodas,hotel,P1_price_missing,-6.9282,107.6202,,4.2,221.0,"RedDoorz @ Talaga Bodas, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
77,077_LODGE-01564_airy-veteran-30-bandung.json,LODGE-01564,Airy Veteran 30 Bandung,hotel,P1_price_missing,-6.9192,107.615,,4.3,127.0,"Airy Veteran 30 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
78,078_LODGE-01559_airy-asia-afrika-pangarang-24-bandung.json,LODGE-01559,Airy Asia Afrika Pangarang 24 Bandung,hotel,P1_price_missing,-6.9242,107.61,,4.4,59.0,"Airy Asia Afrika Pangarang 24 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
79,079_LODGE-01561_airy-malabar-gatot-subroto-62-bandung.json,LODGE-01561,Airy Malabar Gatot Subroto 62 Bandung,hotel,P1_price_missing,-6.9241,107.6249,,3.7,25.0,"Airy Malabar Gatot Subroto 62 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
80,080_LODGE-01560_airy-cicendo-pasirkaliki-53-bandung.json,LODGE-01560,Airy Cicendo Pasirkaliki 53 Bandung,hotel,P1_price_missing,-6.9111,107.5976,,4.1,17.0,"Airy Cicendo Pasirkaliki 53 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
