location_name,total_ulasan,avg_sentimen_skor,avg_rating,ulasan_positif,ulasan_negatif,sentimen_label_lokasi,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
Tebing Gunung Hawu,46,0.8695652173913043,4.565217391304348,42,2,Sangat Positif,0.8695652173913043,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kebun Teh Sukawana,252,0.8690476190476191,4.5,231,12,Sangat Positif,0.8690476190476191,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sudut Pandang Bandung,1182,0.868020304568528,4.579526226734348,1072,46,Sangat Positif,0.868020304568528,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Sejarah Bandung,83,0.8674698795180723,4.421686746987952,74,2,Sangat Positif,0.8674698795180723,tfidf_linearsvc,run_nlp_pipeline_v2,True
Lapangan Gasibu,377,0.8647214854111406,4.612732095490716,345,19,Sangat Positif,0.8647214854111406,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Tilu Leuwi Opat,44,0.8636363636363636,4.659090909090909,39,1,Sangat Positif,0.8636363636363636,tfidf_linearsvc,run_nlp_pipeline_v2,True
Chinatown Bandung,200,0.86,4.415,174,2,Sangat Positif,0.86,tfidf_linearsvc,run_nlp_pipeline_v2,True
Tahura Gunung Kunci,595,0.8588235294117647,4.502521008403361,531,20,Sangat Positif,0.8588235294117647,tfidf_linearsvc,run_nlp_pipeline_v2,True
Peta Park,14,0.8571428571428571,4.642857142857143,13,1,Sangat Positif,0.8571428571428571,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Foto Bandung,200,0.855,4.555,177,6,Sangat Positif,0.855,tfidf_linearsvc,run_nlp_pipeline_v2,True
Jendela Alam,649,0.8536209553158706,4.562403697996919,579,25,Sangat Positif,0.8536209553158706,tfidf_linearsvc,run_nlp_pipeline_v2,True
Terminal Wisata Grafika Cikole,527,0.8519924098671727,4.554079696394687,474,25,Sangat Positif,0.8519924098671727,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Pelangi,54,0.8518518518518519,4.666666666666667,49,3,Sangat Positif,0.8518518518518519,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bumi Perkemahan Ranca Upas Bandung,67,0.8507462686567164,4.552238805970149,60,3,Sangat Positif,0.8507462686567164,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Buyut Cipageran (Kabuci) Asih Putera,487,0.8501026694045175,4.552361396303901,435,21,Sangat Positif,0.8501026694045175,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wisata Kampoeng Ciherang,53,0.8490566037735849,4.377358490566038,47,2,Sangat Positif,0.8490566037735849,tfidf_linearsvc,run_nlp_pipeline_v2,True
Guha Pawon,46,0.8478260869565217,4.652173913043479,41,2,Sangat Positif,0.8478260869565217,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Alun-Alun Kota Cimahi,681,0.8472834067547724,4.538913362701909,601,24,Sangat Positif,0.8472834067547724,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Bugbrug,123,0.8455284552845529,4.577235772357724,110,6,Sangat Positif,0.8455284552845529,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Lalu Lintas Ade Irma Suryani Nasution,200,0.845,4.515,178,9,Sangat Positif,0.845,tfidf_linearsvc,run_nlp_pipeline_v2,True
Happyfarm Ciwidey,200,0.845,4.415,174,5,Sangat Positif,0.845,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pine Forest Camp Lembang,19,0.8421052631578947,4.526315789473684,17,1,Sangat Positif,0.8421052631578947,tfidf_linearsvc,run_nlp_pipeline_v2,True
Situ Cisanti,195,0.841025641025641,4.5487179487179485,170,6,Sangat Positif,0.841025641025641,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gantolle Paralayang Singajaya Cihampelas,463,0.8401727861771058,4.533477321814255,415,26,Sangat Positif,0.8401727861771058,tfidf_linearsvc,run_nlp_pipeline_v2,True
Alam Wisata Cimahi,1068,0.8380149812734082,4.440074906367041,934,39,Sangat Positif,0.8380149812734082,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Pramuka Bandung,36,0.8333333333333334,4.555555555555555,31,1,Sangat Positif,0.8333333333333334,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Buru Gunung Masigit Kareumbi,195,0.8307692307692308,4.482051282051282,169,7,Sangat Positif,0.8307692307692308,tfidf_linearsvc,run_nlp_pipeline_v2,True
Ciwangun Indah Camp,392,0.8290816326530612,4.540816326530612,347,22,Sangat Positif,0.8290816326530612,tfidf_linearsvc,run_nlp_pipeline_v2,True
Paris Van Java Resort Lifestyle Place,200,0.82,4.445,176,12,Sangat Positif,0.82,tfidf_linearsvc,run_nlp_pipeline_v2,True
Ranca Upas Ciwidey,200,0.82,4.485,177,13,Sangat Positif,0.82,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Endog,98,0.8163265306122449,4.561224489795919,84,4,Sangat Positif,0.8163265306122449,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Panyandaan,48,0.8125,4.104166666666667,42,3,Sangat Positif,0.8125,tfidf_linearsvc,run_nlp_pipeline_v2,True
Teras Cikapundung Bbws,200,0.81,4.31,170,8,Sangat Positif,0.81,tfidf_linearsvc,run_nlp_pipeline_v2,True
Floating Market Lembang,52,0.8076923076923077,4.480769230769231,46,4,Sangat Positif,0.8076923076923077,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bukit Senyum,415,0.8,4.36867469879518,355,23,Sangat Positif,0.8,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kawah Putih,200,0.8,4.49,173,13,Sangat Positif,0.8,tfidf_linearsvc,run_nlp_pipeline_v2,True
Masjid Raya Al-Jabbar,20,0.8,4.75,18,2,Sangat Positif,0.8,tfidf_linearsvc,run_nlp_pipeline_v2,True
Situ Ciseupan Cibeber,49,0.7959183673469388,4.612244897959184,41,2,Sangat Positif,0.7959183673469388,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Pendidikan Nasional UPI,34,0.7941176470588235,4.588235294117647,28,1,Sangat Positif,0.7941176470588235,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Kupu-Kupu Cihanjuang,48,0.7916666666666666,4.5625,41,3,Sangat Positif,0.7916666666666666,tfidf_linearsvc,run_nlp_pipeline_v2,True
Hejo Forest Ciwidey,43,0.7906976744186046,4.5813953488372094,37,3,Sangat Positif,0.7906976744186046,tfidf_linearsvc,run_nlp_pipeline_v2,True
Toga Hill,56,0.7857142857142857,4.303571428571429,49,5,Sangat Positif,0.7857142857142857,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Panatayuda,37,0.7837837837837838,4.513513513513513,32,3,Sangat Positif,0.7837837837837838,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Wisata Bougenville,32,0.78125,4.5625,27,2,Sangat Positif,0.78125,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Barli,9,0.7777777777777778,4.555555555555555,8,1,Sangat Positif,0.7777777777777778,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Mandala Wangsit Siliwangi,9,0.7777777777777778,4.555555555555555,8,1,Sangat Positif,0.7777777777777778,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pangjugjugan Sumedang,354,0.7768361581920904,4.254237288135593,297,22,Sangat Positif,0.7768361581920904,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Batu Templek,49,0.7755102040816326,4.469387755102041,41,3,Sangat Positif,0.7755102040816326,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bandung Indah Plaza,200,0.775,4.33,173,18,Sangat Positif,0.775,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sanghyang Tikoro,52,0.7692307692307693,4.269230769230769,44,4,Sangat Positif,0.7692307692307693,tfidf_linearsvc,run_nlp_pipeline_v2,True
D'Dieuland,52,0.7692307692307693,4.153846153846154,44,4,Sangat Positif,0.7692307692307693,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kawah Wayang,52,0.7692307692307693,4.615384615384615,44,4,Sangat Positif,0.7692307692307693,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Main Mili-Mili & Hutan Mycelia,17,0.7647058823529411,4.411764705882353,15,2,Sangat Positif,0.7647058823529411,tfidf_linearsvc,run_nlp_pipeline_v2,True
Noah's Park Lembang,54,0.7592592592592593,4.481481481481482,46,5,Sangat Positif,0.7592592592592593,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Kartini,177,0.7570621468926554,4.4124293785310735,145,11,Sangat Positif,0.7570621468926554,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wisata Hutan Pinus Pal 16 Cikole Lembang,45,0.7555555555555555,4.466666666666667,39,5,Sangat Positif,0.7555555555555555,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wisata Air Gajah Depa,49,0.7551020408163265,4.428571428571429,41,4,Sangat Positif,0.7551020408163265,tfidf_linearsvc,run_nlp_pipeline_v2,True
Panenjoan Jatigede,57,0.7543859649122807,4.350877192982456,48,5,Sangat Positif,0.7543859649122807,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Cinulang,81,0.7530864197530864,4.271604938271605,66,5,Sangat Positif,0.7530864197530864,tfidf_linearsvc,run_nlp_pipeline_v2,True
Nimo Highland,250,0.752,4.344,209,21,Sangat Positif,0.752,tfidf_linearsvc,run_nlp_pipeline_v2,True
Palalangon Park,177,0.751412429378531,4.389830508474576,144,11,Sangat Positif,0.751412429378531,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Lembah Dewata,304,0.75,4.384868421052632,254,26,Sangat Positif,0.75,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Layung,52,0.75,4.461538461538462,44,5,Sangat Positif,0.75,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Film,198,0.7474747474747475,4.2727272727272725,158,10,Sangat Positif,0.7474747474747475,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kebun Strawberry Emte Highland Resort,259,0.7451737451737451,4.239382239382239,213,20,Sangat Positif,0.7451737451737451,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wisata Batu Kuda,51,0.7450980392156863,4.529411764705882,43,5,Sangat Positif,0.7450980392156863,tfidf_linearsvc,run_nlp_pipeline_v2,True
Orchid Forest Cikole,230,0.7434782608695653,4.404347826086957,194,23,Sangat Positif,0.7434782608695653,tfidf_linearsvc,run_nlp_pipeline_v2,True
Danau Biru Situ Cilembang,46,0.7391304347826086,4.434782608695652,38,4,Sangat Positif,0.7391304347826086,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Gorobog,19,0.7368421052631579,4.157894736842105,16,2,Sangat Positif,0.7368421052631579,tfidf_linearsvc,run_nlp_pipeline_v2,True
Situ Patenggang Ciwidey Bandung,200,0.735,4.36,165,18,Sangat Positif,0.735,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kiara Artha Park,563,0.7282415630550622,4.353463587921847,467,57,Sangat Positif,0.7282415630550622,tfidf_linearsvc,run_nlp_pipeline_v2,True
Masjid Agung Sumedang,58,0.7241379310344828,4.362068965517241,49,7,Sangat Positif,0.7241379310344828,tfidf_linearsvc,run_nlp_pipeline_v2,True
Tepi Danau,508,0.7224409448818898,4.289370078740157,413,46,Sangat Positif,0.7224409448818898,tfidf_linearsvc,run_nlp_pipeline_v2,True
Hutan Pinus Rahong,36,0.7222222222222222,4.277777777777778,31,5,Sangat Positif,0.7222222222222222,tfidf_linearsvc,run_nlp_pipeline_v2,True
