_excel_row,penginapan_id,name,property_type,overall_rating,reviews,p2_sentiment_policy_status,exact_google_maps_url,url_status
45,LODGE-00066,Josh House KBP Villa,villa,4.45,8.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Josh+House+KBP+Villa+-6.8694%2C107.4546&query_place_id=ChIJobDOZmr7aC4RTxhY7RCY3z4,valid_google_maps_like
46,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,4.45,8.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Villa+Syariah+Ciwidey+Bandung+Arreneuz+View+Kebun+-7.1062%2C107.4262&query_place_id=ChIJ11UWTdGMaC4R61Ko-RU8je4,valid_google_maps_like
47,LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,villa,4.6,6.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Naomi+Home+Villa+Bandung+near+Wahoo+%26+Whoosh+-6.8695%2C107.4571&query_place_id=ChIJSSoPy0H7aC4Rh1kf1YmBLI0,valid_google_maps_like
48,LODGE-00977,Platinum Yellow Bandung Villa 24 Pax Private Pool,villa,4.0,6.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Platinum+Yellow+Bandung+Villa+24+Pax+Private+Pool+-6.8578%2C107.654&query_place_id=ChIJfXZHWETnaC4RvKOJ-yPnniw,valid_google_maps_like
49,LODGE-01566,Gedung Serba Guna & Villa Ambu,villa,4.6,5.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Gedung+Serba+Guna+%26+Villa+Ambu+-6.8577%2C107.6089&query_place_id=ChIJ5QS2LkLnaC4R5sy86V7vpWw,valid_google_maps_like
50,LODGE-01320,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,villa,4.15,4.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Sunrise+City+View+Villa+9+Bedrooms+With+a+Private+Swimming+Pool+and+a+Billiard+Table+-6.8627%2C107.651&query_place_id=ChIJ87dKnEHnaC4R64SUsUqS8eY,valid_google_maps_like
51,LODGE-01248,Family Only Amazing City View Villa - De Reiz Firen Syariah,villa,3.15,3.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Family+Only+Amazing+City+View+Villa+-+De+Reiz+Firen+Syariah+-6.867%2C107.6394&query_place_id=ChIJ_zi42BXnaC4RmBUiDD35-DY,valid_google_maps_like
52,LODGE-01362,Griya Keraton Villa by Kozystay - Bandung,villa,4.75,3.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Griya+Keraton+Villa+by+Kozystay+-+Bandung+-6.8411%2C107.6594&query_place_id=ChIJA4XUqK3gaC4RG6iuwHRzuao,valid_google_maps_like
53,LODGE-01128,"Garden House Villa, Lembang",villa,3.75,2.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Garden+House+Villa%2C+Lembang+-6.8262%2C107.6346&query_place_id=ChIJlbQwwcLgaC4RdY8_cQ9Q2Kk,valid_google_maps_like
54,LODGE-01211,3 Bed Villa The Dago View,villa,4.8,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=3+Bed+Villa+The+Dago+View+-6.8557%2C107.645&query_place_id=ChIJDxUnbUjnaC4R2JO5Wfy3D9g,valid_google_maps_like
