review_target_id,hotel_id,name,property_segment,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,rating_available,price_available,amenities_available,image_available,data_quality_score,review_scrape_priority,google_maps_search_query,google_maps_search_url,source_dataset
HREV-0032,HOTEL-168,Relaxing 1BR Gateway Pasteur Apartment near Exit Toll By Travelio - One-Bedroom Apartment,apartment,-6.8895898,107.5663223,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Relaxing 1BR Gateway Pasteur Apartment near Exit Toll By Travelio - One-Bedroom Apartment -6.889589787,107.5663223",https://www.google.com/maps/search/?api=1&query=Relaxing%201BR%20Gateway%20Pasteur%20Apartment%20near%20Exit%20Toll%20By%20Travelio%20-%20One-Bedroom%20Apartment%20-6.889589787%2C107.5663223,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0033,HOTEL-065,Sewa Apartemen Bandung,apartment,-6.8911488,107.5665687,,,missing_review_confidence,False,False,False,True,0.26,P0_missing_rating_review,"Sewa Apartemen Bandung -6.8911488,107.5665687",https://www.google.com/maps/search/?api=1&query=Sewa%20Apartemen%20Bandung%20-6.8911488%2C107.5665687,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0034,HOTEL-159,Simply Homey 1BR Gateway Pasteur Apartment near Exit Toll By Travelio,apartment,-6.8902798,107.5664215,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Simply Homey 1BR Gateway Pasteur Apartment near Exit Toll By Travelio -6.89027977,107.5664215",https://www.google.com/maps/search/?api=1&query=Simply%20Homey%201BR%20Gateway%20Pasteur%20Apartment%20near%20Exit%20Toll%20By%20Travelio%20-6.89027977%2C107.5664215,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0035,HOTEL-078,Spacious Chic Studio Room Apartment At Gateway Pasteur,apartment,-6.8894911,107.5683441,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Spacious Chic Studio Room Apartment At Gateway Pasteur -6.889491081,107.5683441",https://www.google.com/maps/search/?api=1&query=Spacious%20Chic%20Studio%20Room%20Apartment%20At%20Gateway%20Pasteur%20-6.889491081%2C107.5683441,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0036,HOTEL-131,Spacious Chic Studio Room Apartment at Gateway Pasteur By Travelio,apartment,-6.8903308,107.5656509,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Spacious Chic Studio Room Apartment at Gateway Pasteur By Travelio -6.890330791,107.5656509",https://www.google.com/maps/search/?api=1&query=Spacious%20Chic%20Studio%20Room%20Apartment%20at%20Gateway%20Pasteur%20By%20Travelio%20-6.890330791%2C107.5656509,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0037,HOTEL-178,Spacious Studio Room at Gateway Pasteur Apartment near Exit Toll Pasteur By Travelio,apartment,-6.8898902,107.5667267,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Spacious Studio Room at Gateway Pasteur Apartment near Exit Toll Pasteur By Travelio -6.889890194,107.5667267",https://www.google.com/maps/search/?api=1&query=Spacious%20Studio%20Room%20at%20Gateway%20Pasteur%20Apartment%20near%20Exit%20Toll%20Pasteur%20By%20Travelio%20-6.889890194%2C107.5667267,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0038,HOTEL-150,Strategic & Stylish Studio Gateway Pasteur Apartment near Pasteur Exit Toll,apartment,-6.889576,107.5659561,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Strategic & Stylish Studio Gateway Pasteur Apartment near Pasteur Exit Toll -6.889575958,107.5659561",https://www.google.com/maps/search/?api=1&query=Strategic%20%26%20Stylish%20Studio%20Gateway%20Pasteur%20Apartment%20near%20Pasteur%20Exit%20Toll%20-6.889575958%2C107.5659561,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0039,HOTEL-151,Strategic & Stylish Studio Gateway Pasteur Apartment near Pasteur Exit Toll By Travelio,apartment,-6.8892798,107.565773,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Strategic & Stylish Studio Gateway Pasteur Apartment near Pasteur Exit Toll By Travelio -6.889279842,107.565773",https://www.google.com/maps/search/?api=1&query=Strategic%20%26%20Stylish%20Studio%20Gateway%20Pasteur%20Apartment%20near%20Pasteur%20Exit%20Toll%20By%20Travelio%20-6.889279842%2C107.565773,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0040,HOTEL-097,Strategic 2BR at Gateway Pasteur Apt By Travelio,apartment,-6.8925099,107.5667801,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Strategic 2BR at Gateway Pasteur Apt By Travelio -6.892509937,107.5667801",https://www.google.com/maps/search/?api=1&query=Strategic%202BR%20at%20Gateway%20Pasteur%20Apt%20By%20Travelio%20-6.892509937%2C107.5667801,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0041,HOTEL-057,Studio Gateway Pasteur By Kevin Property Topaz A,apartment,-6.889317,107.5663528,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Studio Gateway Pasteur By Kevin Property Topaz A -6.889317036,107.5663528",https://www.google.com/maps/search/?api=1&query=Studio%20Gateway%20Pasteur%20By%20Kevin%20Property%20Topaz%20A%20-6.889317036%2C107.5663528,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0042,HOTEL-180,Studio Seventeen - Gateway Apartment,apartment,-6.8877258,107.5683899,,,missing_review_confidence,False,True,True,True,0.54,P0_missing_rating_review,"Studio Seventeen - Gateway Apartment -6.88772583,107.5683899",https://www.google.com/maps/search/?api=1&query=Studio%20Seventeen%20-%20Gateway%20Apartment%20-6.88772583%2C107.5683899,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
