penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-00987,RedDoorz Plus @ Buah Batu,hotel,hotel,-6.9475,107.6314,kota_bandung,4.4,346.0,186746.0,Rp 186.746,1.0,high,17,0.4910711861457005,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00988,RedDoorz Plus @ Cipaganti Street 3,hotel,hotel,-6.9028,107.6029,kota_bandung,4.7,141.0,255654.0,Rp 255.654,1.0,high,22,0.6892376220794545,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00989,RedDoorz Plus @ D'San Residence Buah Batu,hotel,hotel,-6.9385,107.6163,kota_bandung,4.1,27.0,176792.0,Rp 176.792,1.0,high,21,0.540898795506479,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00990,RedDoorz Plus @ Karapitan Street,hotel,hotel,-6.9293,107.6161,kota_bandung,4.6,243.0,187425.0,Rp 187.425,1.0,high,17,0.5570257484460058,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00991,RedDoorz Plus @ Surapati 2,hotel,hotel,-6.898,107.633,kota_bandung,3.8,131.0,182112.0,Rp 182.112,1.0,high,41,0.2063053750604626,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00992,RedDoorz Plus near Kampus UPI Setiabudhi,hotel,hotel,-6.8488,107.5919,kota_bandung,3.4,217.0,118695.0,Rp 118.695,1.0,high,28,0.5113877094161874,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00993,RedDoorz Plus near Surapati Core,hotel,hotel,-6.9017,107.652,kota_bandung,3.1,236.0,168992.0,Rp 168.992,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00994,RedDoorz Plus near Universitas Maranatha Bandung 2,hotel,hotel,-6.8813,107.5805,kota_bandung,4.3,62.0,187230.0,Rp 187.230,1.0,high,1,0.5973507177250763,Positif,low_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00995,RedDoorz Premium @ HOTEL HEBAT,hotel,hotel,-6.9479,107.5883,kota_bandung,4.4,190.0,215507.0,Rp 215.507,1.0,high,18,0.5520358174352665,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00996,RedDoorz Syariah at Cigadung Raya Street,hotel,hotel,-6.89,107.6302,kota_bandung,4.5,74.0,195700.0,Rp 195.700,1.0,high,18,0.6248361792760345,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00997,RedDoorz Syariah near BTC Fashion Mall,hotel,hotel,-6.8912,107.582,kota_bandung,3.2,325.0,121527.0,Rp 121.527,1.0,high,25,0.1708646902067067,Netral,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
