review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note
PHREV-20260605-1141,LODGE-01573,Karana Guesthouse Syariah Bandung Luang Cafe - Single Room,guest_house,-6.9046,107.6756,,,missing_review_confidence,missing_rating_or_review,0.7,False,0,True,check_name_match_first,"Karana Guesthouse Syariah Bandung Luang Cafe - Single Room -6.9046,107.6756",https://www.google.com/maps/search/?api=1&query=Karana%20Guesthouse%20Syariah%20Bandung%20Luang%20Cafe%20-%20Single%20Room%20-6.9046%2C107.6756,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1212,LODGE-00017,Paddies Homestay (Full Room),guest_house,-6.8399,107.083,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"Paddies Homestay (Full Room) -6.8399,107.083",https://www.google.com/maps/search/?api=1&query=Paddies%20Homestay%20%28Full%20Room%29%20-6.8399%2C107.083,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1213,LODGE-00026,Paddies Homestay (Full Room),guest_house,-6.8398,107.0831,,,missing_review_confidence,missing_rating_or_review,0.5,False,0,True,check_name_match_first,"Paddies Homestay (Full Room) -6.8398,107.0831",https://www.google.com/maps/search/?api=1&query=Paddies%20Homestay%20%28Full%20Room%29%20-6.8398%2C107.0831,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1241,LODGE-00207,Radio Backpacker Guesthouse Syariah - Deluxe Room,guest_house,-6.8913,107.5666,,,missing_review_confidence,missing_rating_or_review,0.75,False,0,True,check_name_match_first,"Radio Backpacker Guesthouse Syariah - Deluxe Room -6.8913,107.5666",https://www.google.com/maps/search/?api=1&query=Radio%20Backpacker%20Guesthouse%20Syariah%20-%20Deluxe%20Room%20-6.8913%2C107.5666,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1280,LODGE-01395,Sang Surya Guest House - Triple Room,guest_house,-6.8966,107.5971,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Sang Surya Guest House - Triple Room -6.8966,107.5971",https://www.google.com/maps/search/?api=1&query=Sang%20Surya%20Guest%20House%20-%20Triple%20Room%20-6.8966%2C107.5971,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1288,LODGE-00838,Seruni Guest House Near Alun Alun Lembang Mitra RedDoorz - Standard Double Room,guest_house,-6.815,107.6238,,,missing_review_confidence,missing_rating_or_review,0.75,False,0,True,check_name_match_first,"Seruni Guest House Near Alun Alun Lembang Mitra RedDoorz - Standard Double Room -6.815,107.6238",https://www.google.com/maps/search/?api=1&query=Seruni%20Guest%20House%20Near%20Alun%20Alun%20Lembang%20Mitra%20RedDoorz%20-%20Standard%20Double%20Room%20-6.815%2C107.6238,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1390,LODGE-00545,Vafa Guesthouse - Family Room,guest_house,-6.8406,107.2247,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Vafa Guesthouse - Family Room -6.8406,107.2247",https://www.google.com/maps/search/?api=1&query=Vafa%20Guesthouse%20-%20Family%20Room%20-6.8406%2C107.2247,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1513,LODGE-00806,siadiw GuestHouse - Double Room With Terrace,guest_house,-6.8708,107.1283,,,missing_review_confidence,missing_rating_or_review,0.55,False,0,True,check_name_match_first,"siadiw GuestHouse - Double Room With Terrace -6.8708,107.1283",https://www.google.com/maps/search/?api=1&query=siadiw%20GuestHouse%20-%20Double%20Room%20With%20Terrace%20-6.8708%2C107.1283,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1244,LODGE-01548,RedDoorz Plus near IPDN - Double Room,hotel,-6.9408,107.7589,,,missing_review_confidence,missing_rating_or_review,0.75,False,0,True,check_name_match_first,"RedDoorz Plus near IPDN - Double Room -6.9408,107.7589",https://www.google.com/maps/search/?api=1&query=RedDoorz%20Plus%20near%20IPDN%20-%20Double%20Room%20-6.9408%2C107.7589,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-1247,LODGE-00498,RedDoorz near Situ Cileunca Pangalengan - Single Room,hotel,-7.1779,107.5684,,,missing_review_confidence,missing_rating_or_review,0.6,False,0,True,check_name_match_first,"RedDoorz near Situ Cileunca Pangalengan - Single Room -7.1779,107.5684",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan%20-%20Single%20Room%20-7.1779%2C107.5684,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
