priority,penginapan_id,name,finding_codes,finding_count,recommended_next_step
P1,LODGE-01147,Little Mykonos - Queen Room with Balcony,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01152,Moment Villa - Villa with Private Pool,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01153,Moment Villa - Villa with Private Pool,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01156,No303 - Economy Double Room,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01163,Platinum Dago Resort villa 15px Private Pool Bandung - Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01164,Platinum Dago Resort villa 15px Private Pool Bandung - Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01174,RedDoorz Plus near Asia Afrika 3 - Deluxe Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01178,Rehat at Villa Golf Island Dago Resort II,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01189,Tabgha by Kozystay - Dago,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01196,The Suites Metro Apartment by Desta Farispro,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01202,"Vila Keluarga Syariah Mawar 82, Dago Resort 4BR dengan Privat Pool BBQ dan Rooftop - Villa with Private Pool",POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01208,Zodiak Sutami Hotel Bandung,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01210,bumimakhraja syariah 4 - Deluxe Double Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-01241,Cozy Room @ Hallo Tidur by Tio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01252,Grand Sovia Hotel,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01311,Rehat at Villa Golf Island Dago Resort II,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01312,Ronia Mountain Villa Lembang - Double Room with Garden View,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01320,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01323,The Suites Metro Apartment - King Property,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01326,The suites Metro Apartment by Desta Farispro,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01337,Alesha Property - Studio Apartment,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01388,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01400,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01401,Tabgha by Kozystay - Dago,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01404,The suites Metro Apartment by Desta Farispro - Standard Studio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01414,Alesha Property - Studio Apartment,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01434,Cozy Studio Apartment at Mekarwangi Square Cibaduyut By Travelio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01437,Cozy Studio at Apt Mekarwangi Square By Travelio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01438,Cozy Studio at Apt Mekarwangi Square By Travelio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-01476,Relaxing 1BR at Apartment at Newton Residence Bandung By Travelio,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
