scope,penginapan_id,name,property_type,priority,latitude,longitude,fixed_search_query
all_237,LODGE-00703,Lovely private room for 2 persons,vacation_rental,P1_core_rating_price_missing,-6.8179,107.1432,Lovely private room for 2 persons Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00305,Lovina Nature House 701,vacation_rental,P1_core_rating_price_missing,-6.8252,107.5549,Lovina Nature House 701 Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00306,Lovina Nature House 702,vacation_rental,P1_core_rating_price_missing,-6.8254,107.5548,Lovina Nature House 702 Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00307,Lovina Nature House 703,vacation_rental,P1_core_rating_price_missing,-6.821,107.556,Lovina Nature House 703 Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00308,Marina Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8033,107.5481,Marina Private Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00705,Nakula,vacation_rental,P1_core_rating_price_missing,-7.1114,107.4968,Nakula Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00708,Patuha Resort,vacation_rental,P1_core_rating_price_missing,-7.1339,107.4091,Patuha Resort Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00709,"Penginapan Ciwidey luas 20m2, 2 kasur, 1 k.mandi,",vacation_rental,P1_core_rating_price_missing,-7.1208,107.4305,"Penginapan Ciwidey luas 20m2, 2 kasur, 1 k.mandi, Ciwidey Kabupaten Bandung Jawa Barat Indonesia"
all_237,LODGE-00018,Porlak Jahe GTK ( Giri Tirta Kahuripan ),vacation_rental,P1_core_rating_price_missing,-6.6329,107.5352,Porlak Jahe GTK ( Giri Tirta Kahuripan ) Bandung Jawa Barat Indonesia
all_237,LODGE-00314,Riyadhi 1 Glamping,vacation_rental,P1_core_rating_price_missing,-6.8033,107.548,Riyadhi 1 Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00714,Rumah Alifa Blok A3,vacation_rental,P1_core_rating_price_missing,-6.7955,107.1624,Rumah Alifa Blok A3 Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
