review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0725,LODGE-00213,Villa Koji Lembang,villa,medium_review_confidence,medium_review_confidence,"Villa Koji Lembang -6.8155,107.5582",https://www.google.com/maps/search/?api=1&query=Villa%20Koji%20Lembang%20-6.8155%2C107.5582
PHREV-20260605-1432,LODGE-00185,Villa Kyuri Lembang,villa,missing_rating_or_review,missing_review_confidence,"Villa Kyuri Lembang -6.8158,107.558",https://www.google.com/maps/search/?api=1&query=Villa%20Kyuri%20Lembang%20-6.8158%2C107.558
PHREV-20260605-1433,LODGE-00186,Villa Kyuri Lembang,villa,missing_rating_or_review,missing_review_confidence,"Villa Kyuri Lembang -6.8157,107.5581",https://www.google.com/maps/search/?api=1&query=Villa%20Kyuri%20Lembang%20-6.8157%2C107.5581
PHREV-20260605-0027,LODGE-01333,Villa Lantera Bandung - Rumah Pelita & Rumah Lampion,villa,high_review_confidence,high_review_confidence,"Villa Lantera Bandung - Rumah Pelita & Rumah Lampion -6.848,107.5944",https://www.google.com/maps/search/?api=1&query=Villa%20Lantera%20Bandung%20-%20Rumah%20Pelita%20%26%20Rumah%20Lampion%20-6.848%2C107.5944
PHREV-20260605-1440,LODGE-00187,Villa Murah-Unik-Bersih di Lembang Cimahi Bandung,villa,missing_rating_or_review,missing_review_confidence,"Villa Murah-Unik-Bersih di Lembang Cimahi Bandung -6.9012,107.5152",https://www.google.com/maps/search/?api=1&query=Villa%20Murah-Unik-Bersih%20di%20Lembang%20Cimahi%20Bandung%20-6.9012%2C107.5152
PHREV-20260605-1441,LODGE-00331,Villa Murah-Unik-Bersih di Lembang Cimahi Bandung,villa,missing_rating_or_review,missing_review_confidence,"Villa Murah-Unik-Bersih di Lembang Cimahi Bandung -6.901,107.515",https://www.google.com/maps/search/?api=1&query=Villa%20Murah-Unik-Bersih%20di%20Lembang%20Cimahi%20Bandung%20-6.901%2C107.515
PHREV-20260605-1446,LODGE-00604,Villa Nesa,villa,missing_rating_or_review,missing_review_confidence,"Villa Nesa -6.812,107.1456",https://www.google.com/maps/search/?api=1&query=Villa%20Nesa%20-6.812%2C107.1456
PHREV-20260605-0797,LODGE-00344,Villa Normandie Bandung,villa,medium_review_confidence,medium_review_confidence,"Villa Normandie Bandung -6.8815903,107.5686987",https://www.google.com/maps/search/?api=1&query=Villa%20Normandie%20Bandung%20-6.8815903%2C107.5686987
PHREV-20260605-0738,LODGE-00347,Villa Ouma Bandung,villa,medium_review_confidence,medium_review_confidence,"Villa Ouma Bandung -6.8908826,107.573884",https://www.google.com/maps/search/?api=1&query=Villa%20Ouma%20Bandung%20-6.8908826%2C107.573884
PHREV-20260605-0667,LODGE-00404,Villa Padmasana,villa,low_review_confidence,low_review_confidence,"Villa Padmasana -6.8625666,107.5244074",https://www.google.com/maps/search/?api=1&query=Villa%20Padmasana%20-6.8625666%2C107.5244074
PHREV-20260605-1450,LODGE-00481,Villa Pangalengan,villa,missing_rating_or_review,missing_review_confidence,"Villa Pangalengan -7.2038,107.542",https://www.google.com/maps/search/?api=1&query=Villa%20Pangalengan%20-7.2038%2C107.542
PHREV-20260605-0776,LODGE-01591,Villa Radja House Cipaku Indah Guesthouse di Bandung,villa,medium_review_confidence,medium_review_confidence,"Villa Radja House Cipaku Indah Guesthouse di Bandung -6.8612,107.5972",https://www.google.com/maps/search/?api=1&query=Villa%20Radja%20House%20Cipaku%20Indah%20Guesthouse%20di%20Bandung%20-6.8612%2C107.5972
PHREV-20260605-1451,LODGE-00804,Villa Ravani Bandung,villa,missing_rating_or_review,missing_review_confidence,"Villa Ravani Bandung -6.9951,107.5191",https://www.google.com/maps/search/?api=1&query=Villa%20Ravani%20Bandung%20-6.9951%2C107.5191
PHREV-20260605-0407,LODGE-00514,Villa Rian Argapuri Resort,villa,low_review_confidence,low_review_confidence,"Villa Rian Argapuri Resort -7.1268,107.5138",https://www.google.com/maps/search/?api=1&query=Villa%20Rian%20Argapuri%20Resort%20-7.1268%2C107.5138
PHREV-20260605-0654,LODGE-00451,Villa Roemi,villa,low_review_confidence,low_review_confidence,"Villa Roemi -6.8464644,107.5759225",https://www.google.com/maps/search/?api=1&query=Villa%20Roemi%20-6.8464644%2C107.5759225
PHREV-20260605-1454,LODGE-00188,Villa Roseanne,villa,missing_rating_or_review,missing_review_confidence,"Villa Roseanne -6.8167,107.5578",https://www.google.com/maps/search/?api=1&query=Villa%20Roseanne%20-6.8167%2C107.5578
PHREV-20260605-0655,LODGE-00452,Villa Rumah Hijau Syariah,villa,low_review_confidence,low_review_confidence,"Villa Rumah Hijau Syariah -6.8461427,107.578137",https://www.google.com/maps/search/?api=1&query=Villa%20Rumah%20Hijau%20Syariah%20-6.8461427%2C107.578137
PHREV-20260605-1455,LODGE-00605,Villa Sakinah Ciwidey,villa,missing_rating_or_review,missing_review_confidence,"Villa Sakinah Ciwidey -7.1143,107.4458",https://www.google.com/maps/search/?api=1&query=Villa%20Sakinah%20Ciwidey%20-7.1143%2C107.4458
PHREV-20260605-1457,LODGE-00332,Villa Sapa Syariah Pakuhaji Highland Eco-Resort,villa,missing_rating_or_review,missing_review_confidence,"Villa Sapa Syariah Pakuhaji Highland Eco-Resort -6.8274,107.5405",https://www.google.com/maps/search/?api=1&query=Villa%20Sapa%20Syariah%20Pakuhaji%20Highland%20Eco-Resort%20-6.8274%2C107.5405
