scope,penginapan_id,name,property_type,priority,latitude,longitude,search_query
all_237,LODGE-00667,Alifa Shakilla House 3 Syariah Limbangansari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,"Alifa Shakilla House 3 Syariah Limbangansari -6.82350,107.12190"
all_237,LODGE-00668,Alkasturi syariah Cottage Ciwidey Bandung,vacation_rental,P1_core_rating_price_missing,-7.1033,107.4324,"Alkasturi syariah Cottage Ciwidey Bandung -7.10330,107.43240"
all_237,LODGE-00669,Allika Shakilla House 3 Limbangansari Syariah,vacation_rental,P1_core_rating_price_missing,-6.8236,107.1219,"Allika Shakilla House 3 Limbangansari Syariah -6.82360,107.12190"
all_237,LODGE-00275,Amazing Comfy House in Bandung,vacation_rental,P1_core_rating_price_missing,-6.8647,107.4558,"Amazing Comfy House in Bandung -6.86470,107.45580"
all_237,LODGE-00670,Aqilla Shakilla House 3 Syariah Limbanagnsari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,"Aqilla Shakilla House 3 Syariah Limbanagnsari -6.82350,107.12190"
all_237,LODGE-00671,Argapuri Resort,vacation_rental,P1_core_rating_price_missing,-7.1128,107.4585,"Argapuri Resort -7.11280,107.45850"
all_237,LODGE-00672,Arjuna,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4968,"Arjuna -7.11130,107.49680"
all_237,LODGE-00673,Arjuna cottage rafting - Tent,vacation_rental,P1_core_rating_price_missing,-7.1897,107.5519,"Arjuna cottage rafting - Tent -7.18970,107.55190"
all_237,LODGE-00281,Azalea 1 - Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8042,107.5481,"Azalea 1 - Private Glamping -6.80420,107.54810"
all_237,LODGE-00675,Bima,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4969,"Bima -7.11130,107.49690"
all_237,LODGE-00676,Bisma,vacation_rental,P1_core_rating_price_missing,-7.1114,107.4968,"Bisma -7.11140,107.49680"
all_237,LODGE-00283,Bumi Castle Luxury Living di Kota Baru Parahyangan,vacation_rental,P1_core_rating_price_missing,-6.8678,107.4542,"Bumi Castle Luxury Living di Kota Baru Parahyangan -6.86780,107.45420"
all_237,LODGE-00677,Cabin 97,vacation_rental,P1_core_rating_price_missing,-7.0877,107.4778,"Cabin 97 -7.08770,107.47780"
all_237,LODGE-00678,Camping Pines singkur reverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1854,107.5475,"Camping Pines singkur reverside - Tent -7.18540,107.54750"
all_237,LODGE-00680,Cibodas Get Away in West Java,vacation_rental,P1_core_rating_price_missing,-6.84,107.1601,"Cibodas Get Away in West Java -6.84000,107.16010"
all_237,LODGE-00013,Cozy tropical houses with humble neighbourhood,vacation_rental,P1_core_rating_price_missing,-6.57,107.4483,"Cozy tropical houses with humble neighbourhood -6.57000,107.44830"
all_237,LODGE-00288,D'Gloria Glamping,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,"D'Gloria Glamping -6.80360,107.54820"
all_237,LODGE-00289,Davion House near IKEA KBP by YourHome,vacation_rental,P1_core_rating_price_missing,-6.857,107.4904,"Davion House near IKEA KBP by YourHome -6.85700,107.49040"
all_237,LODGE-00290,Dayang Arum Glamping,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5484,"Dayang Arum Glamping -6.80350,107.54840"
all_237,LODGE-00292,Dayang Rengganis Dome 2,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5479,"Dayang Rengganis Dome 2 -6.80350,107.54790"
all_237,LODGE-00691,Family Cabin with Lake/Mountain View in Ciwidey,vacation_rental,P1_core_rating_price_missing,-7.1397,107.3909,"Family Cabin with Lake/Mountain View in Ciwidey -7.13970,107.39090"
all_237,LODGE-00293,"Family Staycation, Near Lembang With Complete Facilities",vacation_rental,P1_core_rating_price_missing,-6.8386,107.5518,"Family Staycation, Near Lembang With Complete Facilities -6.83860,107.55180"
all_237,LODGE-00694,Glamping [Sunrise] - 2 : Argapuri Jungle Resort,vacation_rental,P1_core_rating_price_missing,-7.126,107.5131,"Glamping [Sunrise] - 2 : Argapuri Jungle Resort -7.12600,107.51310"
all_237,LODGE-00295,Glamping triangle riyadhi 2,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5481,"Glamping triangle riyadhi 2 -6.80350,107.54810"
all_237,LODGE-00695,"Good places, service, good view. Perfect choices.",vacation_rental,P1_core_rating_price_missing,-7.1324,107.4183,"Good places, service, good view. Perfect choices. -7.13240,107.41830"
all_237,LODGE-00296,Hanara Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8045,107.5487,"Hanara Private Glamping -6.80450,107.54870"
all_237,LODGE-00299,Keyla Private Dome,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,"Keyla Private Dome -6.80360,107.54820"
all_237,LODGE-00700,Khaira Shakilla House 3 Syariah Limbangansari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,"Khaira Shakilla House 3 Syariah Limbangansari -6.82350,107.12190"
all_237,LODGE-00701,Kota Bunga A,vacation_rental,P1_core_rating_price_missing,-6.8118,107.1454,"Kota Bunga A -6.81180,107.14540"
all_237,LODGE-00300,Kusumanagara Dome1,vacation_rental,P1_core_rating_price_missing,-6.8044,107.5484,"Kusumanagara Dome1 -6.80440,107.54840"
all_237,LODGE-00301,Liorasuite Japandi house with Jacuzzi in KBP,vacation_rental,P1_core_rating_price_missing,-6.8752,107.4701,"Liorasuite Japandi house with Jacuzzi in KBP -6.87520,107.47010"
all_237,LODGE-00703,Lovely private room for 2 persons,vacation_rental,P1_core_rating_price_missing,-6.8179,107.1432,"Lovely private room for 2 persons -6.81790,107.14320"
all_237,LODGE-00305,Lovina Nature House 701,vacation_rental,P1_core_rating_price_missing,-6.8252,107.5549,"Lovina Nature House 701 -6.82520,107.55490"
all_237,LODGE-00306,Lovina Nature House 702,vacation_rental,P1_core_rating_price_missing,-6.8254,107.5548,"Lovina Nature House 702 -6.82540,107.55480"
all_237,LODGE-00307,Lovina Nature House 703,vacation_rental,P1_core_rating_price_missing,-6.821,107.556,"Lovina Nature House 703 -6.82100,107.55600"
all_237,LODGE-00308,Marina Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8033,107.5481,"Marina Private Glamping -6.80330,107.54810"
all_237,LODGE-00705,Nakula,vacation_rental,P1_core_rating_price_missing,-7.1114,107.4968,"Nakula -7.11140,107.49680"
all_237,LODGE-00708,Patuha Resort,vacation_rental,P1_core_rating_price_missing,-7.1339,107.4091,"Patuha Resort -7.13390,107.40910"
all_237,LODGE-00709,"Penginapan Ciwidey luas 20m2, 2 kasur, 1 k.mandi,",vacation_rental,P1_core_rating_price_missing,-7.1208,107.4305,"Penginapan Ciwidey luas 20m2, 2 kasur, 1 k.mandi, -7.12080,107.43050"
all_237,LODGE-00018,Porlak Jahe GTK ( Giri Tirta Kahuripan ),vacation_rental,P1_core_rating_price_missing,-6.6329,107.5352,"Porlak Jahe GTK ( Giri Tirta Kahuripan ) -6.63290,107.53520"
all_237,LODGE-00314,Riyadhi 1 Glamping,vacation_rental,P1_core_rating_price_missing,-6.8033,107.548,"Riyadhi 1 Glamping -6.80330,107.54800"
all_237,LODGE-00714,Rumah Alifa Blok A3,vacation_rental,P1_core_rating_price_missing,-6.7955,107.1624,"Rumah Alifa Blok A3 -6.79550,107.16240"
all_237,LODGE-00715,Salya Bawah,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4969,"Salya Bawah -7.11130,107.49690"
all_237,LODGE-00318,Sewa Rumah Kota Baru Parahyangan Bandung,vacation_rental,P1_core_rating_price_missing,-6.8688,107.4762,"Sewa Rumah Kota Baru Parahyangan Bandung -6.86880,107.47620"
all_237,LODGE-00717,Shakilla House 6A Syariah Cigalumpit Cianjur,vacation_rental,P1_core_rating_price_missing,-6.8162,107.1715,"Shakilla House 6A Syariah Cigalumpit Cianjur -6.81620,107.17150"
all_237,LODGE-00721,Shakilla House 8 Syariah Panorama,vacation_rental,P1_core_rating_price_missing,-6.8061,107.122,"Shakilla House 8 Syariah Panorama -6.80610,107.12200"
all_237,LODGE-00722,Shakilla House 8A Panorama Syariah,vacation_rental,P1_core_rating_price_missing,-6.8061,107.1218,"Shakilla House 8A Panorama Syariah -6.80610,107.12180"
all_237,LODGE-00723,Shakilla House 8B Syariah Panorama,vacation_rental,P1_core_rating_price_missing,-6.8061,107.122,"Shakilla House 8B Syariah Panorama -6.80610,107.12200"
all_237,LODGE-00724,Sharia Family House,vacation_rental,P1_core_rating_price_missing,-7.0625,107.5483,"Sharia Family House -7.06250,107.54830"
all_237,LODGE-00321,TROYA HOUSE,vacation_rental,P1_core_rating_price_missing,-6.8565,107.4895,"TROYA HOUSE -6.85650,107.48950"
all_237,LODGE-00733,Vila Bukit Endah,vacation_rental,P1_core_rating_price_missing,-7.1693,107.5247,"Vila Bukit Endah -7.16930,107.52470"
all_237,LODGE-00846,Vila Refa-1 type Cotage,vacation_rental,P1_core_rating_price_missing,-6.7219,107.5313,"Vila Refa-1 type Cotage -6.72190,107.53130"
all_237,LODGE-00758,Wulandari Camp Riverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1834,107.5454,"Wulandari Camp Riverside - Tent -7.18340,107.54540"
all_237,LODGE-00759,Wulandari Riverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1834,107.5454,"Wulandari Riverside - Tent -7.18340,107.54540"
all_237,LODGE-00760,Yudistira,vacation_rental,P1_core_rating_price_missing,-7.1113,107.4969,"Yudistira -7.11130,107.49690"
