id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
132,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,NIRWANA FABRIC OUTLET,JL. HASANUDIN NO. 9,"-6.890690522974218, 107.61630191739343",2021,-6.890690522974218,107.61630191739343
133,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,C59,JL. MERAK NO.2,"-6.8972646996027684, 107.62038944317689",2021,-6.8972646996027684,107.62038944317689
134,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,THIRD DAY CO,JL. CIHAMPELAS NO. 140,"-6.894473926345713, 107.60398860542506",2021,-6.894473926345713,107.60398860542506
135,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,K2 BUSANA,JL. DEWI SARTIKA NO. 69,"-6.923048631574014, 107.6055812320262",2021,-6.923048631574014,107.6055812320262
136,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,WIDELY PROJECT,JL. L. L. R. E. MARTADINATA NO. 107,"-6.9042290214011315, 107.62179519715473",2021,-6.9042290214011315,107.62179519715473
137,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,RUMAH BAJU FASHION OUTLET,JL. PURWAKARTA NO. 146,"-6.914314342256234, 107.65666443816652",2021,-6.914314342256234,107.65666443816652
138,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,KENARI FABRIC OUTLET,JL. KENARI NO. 14,"-6.909063594617352, 107.61140760578861",2021,-6.909063594617352,107.61140760578861
139,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,FACTORY OUTLET HILTON,JL. TERUSAN KOPO KM. 11 NO. 76,"-6.979701495649215, 107.56012411140924",2021,-6.979701495649215,107.56012411140924
140,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BARCELONA SPORT,JL. JEND AHMAD YANI NO. 69,"-6.920599434461862, 107.62008805470039",2021,-6.920599434461862,107.62008805470039
141,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GRUTTY SEPATU,JL. CIBADUYUT RAYA NO. 66,"-6.95074969533578, 107.59352499888867",2021,-6.95074969533578,107.59352499888867
142,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO DIANA,JL. CIBADUYUT RAYA NO. 134,"-6.955282248460807, 107.59300588875082",2021,-6.955282248460807,107.59300588875082
143,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BATIK UNGGUL JAYA,JL. VETERAN NO. 42,"-6.918646982122094, 107.615397375414",2021,-6.918646982122094,107.615397375414
144,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO SEIRA,JL. BARANANG SIANG NO. 75,"-6.917837496520026, 107.61865891144464",2021,-6.917837496520026,107.61865891144464
145,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,SYMPHONIC/CRUNC/UNFOLDS/STORE,JL. DEWI SARTIKA NO.7A,"-6.922618112056233, 107.60628267718364",2021,-6.922618112056233,107.60628267718364
146,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,PLANET FASHION,JL. DEWI SARTIKA NO. 15,"-6.923470159127791, 107.60642215157381",2021,-6.923470159127791,107.60642215157381
147,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,MYV FASHION,JL. KOSAR NO. KAV 9,"-6.901139390689338, 107.69139878038219",2021,-6.901139390689338,107.69139878038219
